,taxi_zone,zip_code
659,Midtown East,10154
660,Midtown East,10152
661,Midtown East,10155
662,Midtown East,10022
663,Midtown North,00083
664,Midtown North,10023
665,Midtown North,10105
666,Midtown North,10019
667,Midtown North,10107
668,Midtown North,10153
669,Midtown North,10151
670,Midtown North,10106
671,Midtown North,10022
672,Midtown South,10036
673,Midtown South,10018
674,Midtown South,10017
675,Midtown South,10001
676,Midtown South,10016
677,Midtown South,10118
678,Midwood,11210
679,Midwood,11230
680,Midwood,11229
681,Midwood,11223
682,Morningside Heights,10027
683,Morningside Heights,10024
684,Morningside Heights,10026
685,Morningside Heights,10025
686,Morningside Heights,10115
687,Morrisania/Melrose,10460
688,Morrisania/Melrose,10456
689,Morrisania/Melrose,10459
690,Morrisania/Melrose,10451
691,Mott Haven/Port Morris,10451
692,Mott Haven/Port Morris,10455
693,Mott Haven/Port Morris,10454
694,Mount Hope,10453
695,Mount Hope,10457
696,Mount Hope,10452
697,Murray Hill,10036
698,Murray Hill,10018
699,Murray Hill,10017
700,Murray Hill,10001
701,Murray Hill,10016
702,Murray Hill,10165
703,Murray Hill,10168
704,Murray Hill,10178
705,Murray Hill-Queens,11357
706,Murray Hill-Queens,11354
707,Murray Hill-Queens,11358
708,Murray Hill-Queens,11355
709,New Dorp/Midland Beach,10304
710,New Dorp/Midland Beach,10305
711,New Dorp/Midland Beach,10306
712,North Corona,11372
713,North Corona,11373
714,North Corona,11369
715,North Corona,11368
716,Norwood,10471
717,Norwood,10467
718,Norwood,10463
719,Norwood,10468
720,Norwood,10458
721,Oakland Gardens,11426
722,Oakland Gardens,11427
723,Oakland Gardens,11361
724,Oakland Gardens,11364
725,Oakwood,10306
726,Oakwood,10308
727,Ocean Hill,11221
728,Ocean Hill,11233
729,Ocean Hill,11212
730,Ocean Hill,11207
731,Ocean Parkway South,11230
732,Ocean Parkway South,11204
733,Ocean Parkway South,11223
734,Old Astoria,11105
735,Old Astoria,11102
736,Old Astoria,11103
737,Old Astoria,11106
738,Ozone Park,11416
739,Ozone Park,11208
740,Ozone Park,11420
741,Ozone Park,11417
742,Ozone Park,11414
743,Park Slope,11217
744,Park Slope,11238
745,Park Slope,11215
746,Park Slope,11232
747,Parkchester,10462
748,Parkchester,10461
749,Parkchester,10460
750,Parkchester,10472
751,Pelham Bay,10461
752,Pelham Bay Park,10475
753,Pelham Bay Park,10464
754,Pelham Bay Park,10469
755,Pelham Bay Park,10465
756,Pelham Bay Park,10461
757,Pelham Parkway,10467
758,Pelham Parkway,10469
759,Pelham Parkway,10462
760,Pelham Parkway,10461
761,Penn Station/Madison Sq West,10001
762,Penn Station/Madison Sq West,10010
763,Penn Station/Madison Sq West,10119
764,Penn Station/Madison Sq West,10121
765,Penn Station/Madison Sq West,10120
766,Port Richmond,10310
767,Port Richmond,10303
768,Port Richmond,10302
769,Port Richmond,10314
770,Prospect-Lefferts Gardens,11213
771,Prospect-Lefferts Gardens,11212
772,Prospect-Lefferts Gardens,11225
773,Prospect-Lefferts Gardens,11226
774,Prospect-Lefferts Gardens,11238
775,Prospect-Lefferts Gardens,11215
776,Prospect-Lefferts Gardens,11203
777,Prospect Heights,11217
778,Prospect Heights,11238
779,Prospect Park,11225
780,Prospect Park,11218
781,Prospect Park,11226
782,Prospect Park,11238
783,Prospect Park,11215
784,Queens Village,11426
785,Queens Village,11427
786,Queens Village,11423
787,Queens Village,11428
788,Queens Village,11429
789,Queens Village,11412
790,Queens Village,11411
791,Queensboro Hill,11365
792,Queensboro Hill,11358
793,Queensboro Hill,11355
794,Queensboro Hill,11367
795,Queensbridge/Ravenswood,11102
796,Queensbridge/Ravenswood,11106
797,Queensbridge/Ravenswood,11101
798,Randalls Island,10035
799,Red Hook,11201
800,Red Hook,11231
801,Red Hook,11215
802,Red Hook,11231
