,date,zip_code,hospitalization_rate
248,4/2020,10466,476.8
249,4/2020,10467,536.0
250,4/2020,10468,444.7
251,4/2020,10469,582.5
252,4/2020,10470,166.8
253,4/2020,10471,522.6
254,4/2020,10472,476.6
255,4/2020,10473,436.5
256,4/2020,10474,334.0
257,4/2020,10475,585.0
258,4/2020,11004,374.7
259,4/2020,11101,211.8
260,4/2020,11102,419.4
261,4/2020,11103,274.8
262,4/2020,11104,235.9
263,4/2020,11105,210.0
264,4/2020,11106,291.2
265,4/2020,11109,86.8
266,4/2020,11201,173.4
267,4/2020,11203,437.8
268,4/2020,11204,219.2
269,4/2020,11205,220.6
270,4/2020,11206,260.6
271,4/2020,11207,369.5
272,4/2020,11208,384.0
273,4/2020,11209,219.2
274,4/2020,11210,331.9
275,4/2020,11211,202.6
276,4/2020,11212,389.4
277,4/2020,11213,292.6
278,4/2020,11214,266.1
279,4/2020,11215,84.7
280,4/2020,11216,211.6
281,4/2020,11217,264.2
282,4/2020,11218,291.9
283,4/2020,11219,278.6
284,4/2020,11220,270.6
285,4/2020,11221,251.7
286,4/2020,11222,127.3
287,4/2020,11223,191.4
288,4/2020,11224,533.8
289,4/2020,11225,319.9
290,4/2020,11226,363.6
291,4/2020,11228,204.5
292,4/2020,11229,185.6
293,4/2020,11230,326.2
294,4/2020,11231,131.1
295,4/2020,11232,288.0
296,4/2020,11233,283.9
297,4/2020,11234,270.1
298,4/2020,11235,355.5
299,4/2020,11236,368.6
300,4/2020,11237,283.3
301,4/2020,11238,282.0
302,4/2020,11239,829.3
303,4/2020,11354,558.2
304,4/2020,11355,319.6
305,4/2020,11356,359.4
306,4/2020,11357,333.2
307,4/2020,11358,183.2
308,4/2020,11360,210.0
309,4/2020,11361,246.5
310,4/2020,11362,165.7
311,4/2020,11363,222.7
312,4/2020,11364,165.3
313,4/2020,11365,285.3
314,4/2020,11366,267.5
315,4/2020,11367,250.8
316,4/2020,11368,603.4
317,4/2020,11369,761.3
318,4/2020,11370,380.8
319,4/2020,11372,515.8
320,4/2020,11373,488.8
321,4/2020,11374,294.7
322,4/2020,11375,312.9
323,4/2020,11377,399.8
324,4/2020,11378,282.2
325,4/2020,11379,365.8
326,4/2020,11385,224.9
327,4/2020,11411,467.8
328,4/2020,11412,414.7
329,4/2020,11413,409.7
330,4/2020,11414,246.8
331,4/2020,11415,376.2
332,4/2020,11416,291.8
333,4/2020,11417,331.8
334,4/2020,11418,364.5
335,4/2020,11419,346.4
336,4/2020,11420,347.0
337,4/2020,11421,377.0
338,4/2020,11422,370.5
339,4/2020,11423,433.5
340,4/2020,11426,252.9
341,4/2020,11427,330.9
342,4/2020,11428,479.0
343,4/2020,11429,460.3
344,4/2020,11432,431.2
345,4/2020,11433,449.0
346,4/2020,11434,404.4
347,4/2020,11435,412.6
348,4/2020,11436,314.3
349,4/2020,11691,750.9
350,4/2020,11692,542.1
351,4/2020,11693,213.1
352,4/2020,11694,582.3
353,4/2020,11697,206.3
354,5/2020,10001,54.3
355,5/2020,10002,41.2
356,5/2020,10003,11.1
357,5/2020,10004,33.6
358,5/2020,10005,11.4
359,5/2020,10006,0.0
360,5/2020,10007,14.3
361,5/2020,10009,12.2
362,5/2020,10010,30.0
363,5/2020,10011,12.1
364,5/2020,10012,17.3
365,5/2020,10013,13.9
366,5/2020,10014,6.6
367,5/2020,10016,13.7
368,5/2020,10017,0.0
369,5/2020,10018,25.4
370,5/2020,10019,25.3
371,5/2020,10021,15.3
372,5/2020,10022,16.2
373,5/2020,10023,11.3
374,5/2020,10024,18.8
375,5/2020,10025,31.7
376,5/2020,10026,31.0
377,5/2020,10027,52.1
378,5/2020,10028,16.9
379,5/2020,10029,58.8
380,5/2020,10030,44.4
381,5/2020,10031,50.8
382,5/2020,10032,53.9
383,5/2020,10033,46.1
384,5/2020,10034,33.1
385,5/2020,10035,93.6
386,5/2020,10036,22.0
387,5/2020,10037,81.8
388,5/2020,10038,21.9
389,5/2020,10039,47.8
390,5/2020,10040,61.4
391,5/2020,10044,77.1
392,5/2020,10065,7.2
393,5/2020,10069,47.7
394,5/2020,10075,26.0
395,5/2020,10128,15.4
396,5/2020,10280,10.7
397,5/2020,10282,0.0
398,5/2020,10301,64.3
399,5/2020,10302,64.9
400,5/2020,10303,75.4
401,5/2020,10304,76.4
402,5/2020,10305,60.7
403,5/2020,10306,47.3
404,5/2020,10307,13.4
405,5/2020,10308,16.8
406,5/2020,10309,24.3
407,5/2020,10310,29.9
408,5/2020,10312,24.6
409,5/2020,10314,48.6
410,5/2020,10451,52.8
411,5/2020,10452,69.1
412,5/2020,10453,55.9
413,5/2020,10454,60.8
414,5/2020,10455,66.8
415,5/2020,10456,70.8
416,5/2020,10457,52.9
417,5/2020,10458,64.1
418,5/2020,10459,48.0
419,5/2020,10460,73.0
420,5/2020,10461,53.0
421,5/2020,10462,50.5
422,5/2020,10463,65.7
423,5/2020,10464,0.0
424,5/2020,10465,30.1
425,5/2020,10466,58.9
426,5/2020,10467,90.1
427,5/2020,10468,84.8
428,5/2020,10469,74.4
429,5/2020,10470,46.7
430,5/2020,10471,94.2
431,5/2020,10472,70.6
432,5/2020,10473,57.5
433,5/2020,10474,50.1
434,5/2020,10475,79.6
435,5/2020,11004,42.2
436,5/2020,11101,21.7
437,5/2020,11102,46.6
438,5/2020,11103,25.8
439,5/2020,11104,23.6
440,5/2020,11105,19.3
441,5/2020,11106,29.4
442,5/2020,11109,0.0
443,5/2020,11201,28.9
444,5/2020,11203,53.2
445,5/2020,11204,48.0
446,5/2020,11205,30.9
447,5/2020,11206,33.4
448,5/2020,11207,55.0
449,5/2020,11208,55.5
450,5/2020,11209,37.0
451,5/2020,11210,32.0
452,5/2020,11211,40.3
453,5/2020,11212,75.7
454,5/2020,11213,37.2
455,5/2020,11214,47.4
456,5/2020,11215,14.4
457,5/2020,11216,16.4
458,5/2020,11217,24.5
459,5/2020,11218,52.7
460,5/2020,11219,72.2
461,5/2020,11220,56.0
462,5/2020,11221,30.7
463,5/2020,11222,24.9
464,5/2020,11223,27.0
465,5/2020,11224,92.9
466,5/2020,11225,38.3
467,5/2020,11226,59.6
468,5/2020,11228,22.2
469,5/2020,11229,29.9
470,5/2020,11230,58.5
471,5/2020,11231,16.1
472,5/2020,11232,25.8
473,5/2020,11233,43.1
474,5/2020,11234,37.2
475,5/2020,11235,52.4
476,5/2020,11236,44.3
477,5/2020,11237,33.3
478,5/2020,11238,26.1
479,5/2020,11239,84.5
480,5/2020,11354,92.7
481,5/2020,11355,52.0
482,5/2020,11356,35.1
483,5/2020,11357,49.1
484,5/2020,11358,13.9
485,5/2020,11360,31.5
486,5/2020,11361,45.5
487,5/2020,11362,22.1
488,5/2020,11363,14.8
489,5/2020,11364,11.2
490,5/2020,11365,38.8
491,5/2020,11366,21.1
492,5/2020,11367,41.8
493,5/2020,11368,65.2
494,5/2020,11369,116.0
495,5/2020,11370,28.3
496,5/2020,11372,72.5
497,5/2020,11373,54.6
498,5/2020,11374,48.3
499,5/2020,11375,35.1
500,5/2020,11377,38.1
501,5/2020,11378,27.7
502,5/2020,11379,40.9
503,5/2020,11385,26.1
504,5/2020,11411,37.4
505,5/2020,11412,34.1
506,5/2020,11413,55.5
507,5/2020,11414,38.8
508,5/2020,11415,63.6
509,5/2020,11416,49.3
510,5/2020,11417,29.0
511,5/2020,11418,37.2
512,5/2020,11419,61.8
513,5/2020,11420,31.4
514,5/2020,11421,30.0
515,5/2020,11422,46.3
516,5/2020,11423,48.2
517,5/2020,11426,34.7
518,5/2020,11427,33.9
519,5/2020,11428,26.9
520,5/2020,11429,61.1
521,5/2020,11432,80.7
522,5/2020,11433,52.0
523,5/2020,11434,49.4
524,5/2020,11435,46.2
525,5/2020,11436,44.9
526,5/2020,11691,98.7
527,5/2020,11692,95.1
528,5/2020,11693,23.7
529,5/2020,11694,57.7
530,5/2020,11697,59.0
531,6/2020,10001,7.2
532,6/2020,10002,13.3
533,6/2020,10003,5.6
534,6/2020,10004,0.0
535,6/2020,10005,11.4
536,6/2020,10006,0.0
537,6/2020,10007,0.0
538,6/2020,10009,8.7
539,6/2020,10010,6.0
540,6/2020,10011,6.0
541,6/2020,10012,0.0
542,6/2020,10013,3.5
543,6/2020,10014,9.9
544,6/2020,10016,9.8
545,6/2020,10017,19.2
546,6/2020,10018,17.0
547,6/2020,10019,16.1
548,6/2020,10021,2.2
549,6/2020,10022,3.2
550,6/2020,10023,1.6
551,6/2020,10024,6.8
552,6/2020,10025,8.7
553,6/2020,10026,7.8
554,6/2020,10027,18.9
555,6/2020,10028,2.1
556,6/2020,10029,17.9
557,6/2020,10030,20.5
558,6/2020,10031,15.2
559,6/2020,10032,34.9
560,6/2020,10033,25.6
561,6/2020,10034,21.3
562,6/2020,10035,36.9
563,6/2020,10036,18.4
564,6/2020,10037,24.0
565,6/2020,10038,8.7
566,6/2020,10039,18.4
567,6/2020,10040,20.5
568,6/2020,10044,8.6
569,6/2020,10065,14.3
570,6/2020,10069,15.9
571,6/2020,10075,13.0
572,6/2020,10128,3.4
573,6/2020,10280,0.0
574,6/2020,10282,0.0
575,6/2020,10301,12.9
576,6/2020,10302,10.8
577,6/2020,10303,18.9
578,6/2020,10304,7.2
579,6/2020,10305,16.3
580,6/2020,10306,20.8
581,6/2020,10307,6.7
582,6/2020,10308,0.0
583,6/2020,10309,0.0
584,6/2020,10310,17.1
585,6/2020,10312,1.6
586,6/2020,10314,18.4
587,6/2020,10451,21.1
588,6/2020,10452,23.9
589,6/2020,10453,28.0
590,6/2020,10454,26.4
591,6/2020,10455,14.3
592,6/2020,10456,16.1
593,6/2020,10457,20.3
594,6/2020,10458,20.5
595,6/2020,10459,27.2
596,6/2020,10460,27.2
