PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent
45,32961.38,781.21,Manhattan,Chinatown,Yellow Zone,#6c83b5,-86.71268229035547,-84.4512116236254,#2a5a5b,-86.66778853053167
46,961.67,1094.86,Bronx,City Island,Boro Zone,#e8e8e8,17.731963811319357,-51.56815386929249,#e8e8e8,-33.17421891501081
47,12009.09,9673.82,Bronx,Claremont/Bathgate,Boro Zone,#5a9178,61.471098382477514,-42.425723099117796,#e8e8e8,-10.547685752629068
48,631731.56,1220.19,Manhattan,Clinton East,Yellow Zone,#567994,-83.14133036481856,-78.38665566092881,#2a5a5b,-83.13417777678595
49,16560.14,14760.25,Brooklyn,Clinton Hill,Boro Zone,#5a9178,-46.7012161739843,-76.37515931692074,#5a9178,-66.51946603702952
50,180729.53,844.7,Manhattan,Clinton West,Yellow Zone,#6c83b5,-82.34314474304578,-48.97768113315816,#6c83b5,-82.28926545754499
51,24868.22,19320.59,Bronx,Co-Op City,Boro Zone,#2a5a5b,9.084536697489167,-57.24752858652298,#e8e8e8,-35.00589434018322
52,10386.47,11009.17,Brooklyn,Cobble Hill,Boro Zone,#5a9178,-83.38728303359503,-80.20088000325156,#2a5a5b,-81.88737168947546
53,3460.33,1191.36,Queens,College Point,Boro Zone,#e8e8e8,-44.0429178997073,-78.85834044644933,#5a9178,-60.642370820617266
54,1332.58,620.92,Brooklyn,Columbia Street,Boro Zone,#e8e8e8,-74.78976970678431,-85.96743392431381,#2a5a5b,-79.88305707506754
55,18972.42,19191.66,Brooklyn,Coney Island,Boro Zone,#5a9178,74.71270930389964,-73.27773987384954,#b8d6be,-53.84021981124169
56,7241.21,7417.71,Queens,Corona,Boro Zone,#5a9178,-84.14052389288585,-72.39662003530006,#567994,-79.78945290181969
57,1456.06,1235.02,Queens,Corona,Boro Zone,#b8d6be,197.85414748900482,-9.87097527512625,#e8e8e8,44.74942580669452
58,209.38,424.73,Bronx,Country Club,Boro Zone,#e8e8e8,-77.67256363500645,-70.23073580329982,#567994,-73.1821815090653
59,50.12,126.34,Bronx,Crotona Park,Boro Zone,#e8e8e8,-88.89553561537609,-83.18090445571575,#2a5a5b,-85.32581578684761
60,5876.07,4901.73,Bronx,Crotona Park East,Boro Zone,#b8d6be,35.650240778617565,-49.962331871524114,#e8e8e8,-23.712437694031518
61,45001.64,32705.66,Brooklyn,Crown Heights North,Boro Zone,#2a5a5b,-3.3052291270993552,-64.05353623413957,#e8e8e8,-43.4955653275695
