PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color
82,56654.7,310999.02,Queens,Elmhurst,Boro Zone,#2a5a5b
83,16064.57,39219.14,Queens,Elmhurst/Maspeth,Boro Zone,#5a9178
84,417.03999999999996,159.11,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8
85,13757.42,27709.65,Brooklyn,Erasmus,Boro Zone,#5a9178
86,12738.72,17737.2,Queens,Far Rockaway,Boro Zone,#90b2b3
87,1294928.26,308.28,Manhattan,Financial District North,Yellow Zone,#6c83b5
88,755679.61,228.62,Manhattan,Financial District South,Yellow Zone,#6c83b5
89,39797.13,69944.68000000001,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#5a9178
90,2289373.04,293.38,Manhattan,Flatiron,Yellow Zone,#6c83b5
91,22141.49,47479.840000000004,Brooklyn,Flatlands,Boro Zone,#5a9178
92,18133.49,91408.43000000001,Queens,Flushing,Boro Zone,#5a9178
93,80780.37,5400.94,Queens,Flushing Meadows-Corona Park,Boro Zone,#567994
94,5108.71,12933.69,Bronx,Fordham South,Boro Zone,#b8d6be
95,40866.91,245729.7,Queens,Forest Hills,Boro Zone,#5a9178
96,1221.74,777.7,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8
97,121905.38,247504.42,Brooklyn,Fort Greene,Boro Zone,#2a5a5b
98,5671.92,7316.73,Queens,Fresh Meadows,Boro Zone,#b8d6be
99,12.8,105.82,Staten Island,Freshkills Park,Boro Zone,#e8e8e8
100,2813320.66,835.02,Manhattan,Garment District,Yellow Zone,#6c83b5
101,7030.99,8385.32,Queens,Glen Oaks,Boro Zone,#b8d6be
102,5227.17,11193.98,Queens,Glendale,Boro Zone,#b8d6be
103,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
104,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
105,171.55,6.25,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
106,15647.41,23727.28,Brooklyn,Gowanus,Boro Zone,#90b2b3
107,2958650.0,340.29,Manhattan,Gramercy,Yellow Zone,#6c83b5
108,6074.38,23124.09,Brooklyn,Gravesend,Boro Zone,#b8d6be
109,104.17,9.3,Staten Island,Great Kills,Boro Zone,#e8e8e8
110,0.0,0.0,Staten Island,Great Kills Park,Boro Zone,#e8e8e8
111,288.89,280.62,Brooklyn,Green-Wood Cemetery,Boro Zone,#e8e8e8
112,45789.43,69740.96,Brooklyn,Greenpoint,Boro Zone,#5a9178
113,1990586.83,398.1,Manhattan,Greenwich Village North,Yellow Zone,#6c83b5
114,1786019.72,248.34,Manhattan,Greenwich Village South,Yellow Zone,#6c83b5
115,1365.76,3027.52,Staten Island,Grymes Hill/Clifton,Boro Zone,#e8e8e8
116,159204.16,127875.19,Manhattan,Hamilton Heights,Boro Zone,#2a5a5b
117,8663.27,20782.49,Queens,Hammels/Arverne,Boro Zone,#90b2b3
118,1033.67,542.67,Staten Island,Heartland Village/Todt Hill,Boro Zone,#e8e8e8
119,11929.12,21924.52,Bronx,Highbridge,Boro Zone,#90b2b3
120,2147.34,1250.1,Manhattan,Highbridge Park,Boro Zone,#e8e8e8
121,8606.44,19574.57,Queens,Hillcrest/Pomonok,Boro Zone,#90b2b3
122,5532.46,13748.63,Queens,Hollis,Boro Zone,#b8d6be
123,8327.95,26578.31,Brooklyn,Homecrest,Boro Zone,#73ae80
124,12584.7,9105.5,Queens,Howard Beach,Boro Zone,#90b2b3
125,826547.37,24.46,Manhattan,Hudson Sq,Yellow Zone,#6c83b5
126,6209.7,14045.02,Bronx,Hunts Point,Boro Zone,#b8d6be
127,16895.76,34361.24,Manhattan,Inwood,Boro Zone,#5a9178
128,1600.32,1734.13,Manhattan,Inwood Hill Park,Boro Zone,#e8e8e8
129,74107.36,196110.62,Queens,Jackson Heights,Boro Zone,#2a5a5b
130,60707.9,183121.61000000002,Queens,Jamaica,Boro Zone,#2a5a5b
131,10728.31,18977.99,Queens,Jamaica Estates,Boro Zone,#90b2b3
132,13179824.2,3502.5,Queens,JFK Airport,Airports,#567994
133,10944.31,14829.47,Brooklyn,Kensington,Boro Zone,#90b2b3
134,23997.08,76516.45,Queens,Kew Gardens,Boro Zone,#5a9178
135,16661.82,15357.83,Queens,Kew Gardens Hills,Boro Zone,#90b2b3
136,11441.24,30115.29,Bronx,Kingsbridge Heights,Boro Zone,#5a9178
137,1568971.23,354.96,Manhattan,Kips Bay,Yellow Zone,#6c83b5
138,9145631.89,2442.95,Queens,LaGuardia Airport,Airports,#6c83b5
139,11212.21,14140.02,Queens,Laurelton,Boro Zone,#90b2b3
140,2277858.55,136.63,Manhattan,Lenox Hill East,Yellow Zone,#6c83b5
141,2661730.34,87.68,Manhattan,Lenox Hill West,Yellow Zone,#6c83b5
142,3835778.37,348.43,Manhattan,Lincoln Square East,Yellow Zone,#6c83b5
143,1417065.02,32.6,Manhattan,Lincoln Square West,Yellow Zone,#6c83b5
144,1359757.12,163.98000000000002,Manhattan,Little Italy/NoLiTa,Yellow Zone,#6c83b5
145,211299.69,97756.37,Queens,Long Island City/Hunters Point,Boro Zone,#2a5a5b
146,112744.21,37621.76,Queens,Long Island City/Queens Plaza,Boro Zone,#2a5a5b
147,6662.97,13977.460000000001,Bronx,Longwood,Boro Zone,#b8d6be
148,1868439.58,100.02,Manhattan,Lower East Side,Yellow Zone,#6c83b5
149,8949.51,20271.91,Brooklyn,Madison,Boro Zone,#90b2b3
150,6006.58,15533.71,Brooklyn,Manhattan Beach,Boro Zone,#b8d6be
151,994619.62,28.64,Manhattan,Manhattan Valley,Yellow Zone,#6c83b5
152,121152.25,61887.520000000004,Manhattan,Manhattanville,Boro Zone,#2a5a5b
153,5604.89,3494.96,Manhattan,Marble Hill,Boro Zone,#b8d6be
154,2495.11,929.98,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,#e8e8e8
155,12121.24,29059.76,Brooklyn,Marine Park/Mill Basin,Boro Zone,#5a9178
156,891.26,3234.99,Staten Island,Mariners Harbor,Boro Zone,#b8d6be
157,24393.88,9032.98,Queens,Maspeth,Boro Zone,#90b2b3
158,1456393.86,43.68000000000001,Manhattan,Meatpacking/West Village West,Yellow Zone,#6c83b5
159,17928.38,41435.43,Bronx,Melrose South,Boro Zone,#5a9178
160,6544.09,9791.77,Queens,Middle Village,Boro Zone,#b8d6be
161,5809623.33,578.5,Manhattan,Midtown Center,Yellow Zone,#6c83b5
162,4998374.9,848.9200000000001,Manhattan,Midtown East,Yellow Zone,#6c83b5
163,3719782.06,269.46,Manhattan,Midtown North,Yellow Zone,#6c83b5
164,3270365.0,426.87,Manhattan,Midtown South,Yellow Zone,#6c83b5
165,14274.84,33161.44,Brooklyn,Midwood,Boro Zone,#5a9178
166,717563.08,334399.34,Manhattan,Morningside Heights,Boro Zone,#2a5a5b
167,9603.81,23834.78,Bronx,Morrisania/Melrose,Boro Zone,#90b2b3
168,38310.94,40656.0,Bronx,Mott Haven/Port Morris,Boro Zone,#5a9178
169,9468.08,25391.760000000002,Bronx,Mount Hope,Boro Zone,#90b2b3
170,4182261.0300000003,765.22,Manhattan,Murray Hill,Yellow Zone,#6c83b5
171,7997.53,10280.56,Queens,Murray Hill-Queens,Boro Zone,#b8d6be
172,243.07999999999998,172.12,Staten Island,New Dorp/Midland Beach,Boro Zone,#e8e8e8
173,7994.9,24044.12,Queens,North Corona,Boro Zone,#b8d6be
174,9039.93,39411.0,Bronx,Norwood,Boro Zone,#5a9178
175,6386.92,8815.79,Queens,Oakland Gardens,Boro Zone,#b8d6be
176,345.07,99.94,Staten Island,Oakwood,Boro Zone,#e8e8e8
177,17363.79,32808.33,Brooklyn,Ocean Hill,Boro Zone,#5a9178
178,3734.03,8672.68,Brooklyn,Ocean Parkway South,Boro Zone,#b8d6be
179,67282.48,52144.22,Queens,Old Astoria,Boro Zone,#2a5a5b
180,6087.82,5784.89,Queens,Ozone Park,Boro Zone,#b8d6be
181,125053.82,188811.78,Brooklyn,Park Slope,Boro Zone,#2a5a5b
182,13725.38,34100.22,Bronx,Parkchester,Boro Zone,#5a9178
183,4156.77,10433.39,Bronx,Pelham Bay,Boro Zone,#b8d6be
184,555.8199999999999,803.21,Bronx,Pelham Bay Park,Boro Zone,#e8e8e8
185,5877.57,18047.02,Bronx,Pelham Parkway,Boro Zone,#b8d6be
186,4898875.76,1192.28,Manhattan,Penn Station/Madison Sq West,Yellow Zone,#6c83b5
187,129.91,256.09,Staten Island,Port Richmond,Boro Zone,#e8e8e8
188,32651.43,69266.77,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,#5a9178
189,30188.79,27478.19,Brooklyn,Prospect Heights,Boro Zone,#5a9178
190,8994.45,12518.58,Brooklyn,Prospect Park,Boro Zone,#90b2b3
191,17594.39,30480.18,Queens,Queens Village,Boro Zone,#5a9178
192,3800.67,10012.960000000001,Queens,Queensboro Hill,Boro Zone,#b8d6be
193,64659.36,27722.329999999998,Queens,Queensbridge/Ravenswood,Boro Zone,#2a5a5b
194,23374.43,552.69,Manhattan,Randalls Island,Yellow Zone,#b5c0da
195,12359.5,18801.32,Brooklyn,Red Hook,Boro Zone,#90b2b3
196,23410.43,75220.55,Queens,Rego Park,Boro Zone,#5a9178
197,27050.78,49189.43,Queens,Richmond Hill,Boro Zone,#5a9178
198,8642.19,11795.83,Queens,Ridgewood,Boro Zone,#90b2b3
199,27.3,0.0,Bronx,Rikers Island,Boro Zone,#e8e8e8
200,8310.72,16602.45,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,#b8d6be
201,2699.33,5271.7,Queens,Rockaway Park,Boro Zone,#b8d6be
202,9304.47,2252.16,Manhattan,Roosevelt Island,Boro Zone,#b5c0da
203,13990.01,12047.55,Queens,Rosedale,Boro Zone,#90b2b3
204,0.0,167.38,Staten Island,Rossville/Woodrow,Boro Zone,#e8e8e8
205,28182.49,47624.97,Queens,Saint Albans,Boro Zone,#5a9178
206,1334.6399999999999,3620.0,Staten Island,Saint George/New Brighton,Boro Zone,#b8d6be
207,3307.77,411.63,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,#e8e8e8
208,8983.27,17806.38,Bronx,Schuylerville/Edgewater Park,Boro Zone,#90b2b3
209,351116.59,87.36,Manhattan,Seaport,Yellow Zone,#6c83b5
210,16519.38,56175.39,Brooklyn,Sheepshead Bay,Boro Zone,#5a9178
211,1085219.1300000001,183.18,Manhattan,SoHo,Yellow Zone,#6c83b5
212,8475.94,24696.36,Bronx,Soundview/Bruckner,Boro Zone,#b8d6be
213,20894.8,47160.090000000004,Bronx,Soundview/Castle Hill,Boro Zone,#5a9178
214,1069.49,1213.85,Staten Island,South Beach/Dongan Hills,Boro Zone,#e8e8e8
215,66248.85,29988.88,Queens,South Jamaica,Boro Zone,#2a5a5b
216,63207.24,28096.87,Queens,South Ozone Park,Boro Zone,#2a5a5b
217,12659.32,9433.95,Brooklyn,South Williamsburg,Boro Zone,#90b2b3
218,20721.02,22486.26,Queens,Springfield Gardens North,Boro Zone,#90b2b3
219,46520.11,10867.31,Queens,Springfield Gardens South,Boro Zone,#90b2b3
220,13834.35,28246.53,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,#5a9178
221,894.51,1049.95,Staten Island,Stapleton,Boro Zone,#e8e8e8
222,13309.22,31863.21,Brooklyn,Starrett City,Boro Zone,#5a9178
223,110786.18000000001,115356.03,Queens,Steinway,Boro Zone,#2a5a5b
224,258326.99,326.65999999999997,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,#6c83b5
225,31338.15,63055.05,Brooklyn,Stuyvesant Heights,Boro Zone,#5a9178
226,260396.79,75405.44,Queens,Sunnyside,Boro Zone,#2a5a5b
227,7923.92,18790.34,Brooklyn,Sunset Park East,Boro Zone,#b8d6be
228,18103.68,27666.59,Brooklyn,Sunset Park West,Boro Zone,#5a9178
229,2314073.41,163.36,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,#6c83b5
230,5271598.57,461.59000000000003,Manhattan,Times Sq/Theatre District,Yellow Zone,#6c83b5
231,2523854.37,430.5,Manhattan,TriBeCa/Civic Center,Yellow Zone,#6c83b5
232,271893.44,72.05,Manhattan,Two Bridges/Seward Park,Yellow Zone,#6c83b5
233,2959406.73,348.22,Manhattan,UN/Turtle Bay South,Yellow Zone,#6c83b5
234,4087026.0300000003,474.13,Manhattan,Union Sq,Yellow Zone,#6c83b5
235,16381.29,35590.11,Bronx,University Heights/Morris Heights,Boro Zone,#5a9178
236,4242808.09,16283.800000000001,Manhattan,Upper East Side North,Yellow Zone,#567994
237,4572787.01,269.8,Manhattan,Upper East Side South,Yellow Zone,#6c83b5
238,2261620.9,125.88000000000001,Manhattan,Upper West Side North,Yellow Zone,#6c83b5
239,3079504.2600000002,537.98,Manhattan,Upper West Side South,Yellow Zone,#6c83b5
240,1582.47,3608.42,Bronx,Van Cortlandt Park,Boro Zone,#b8d6be
241,8457.1,20052.24,Bronx,Van Cortlandt Village,Boro Zone,#b8d6be
242,12292.6,50395.31,Bronx,Van Nest/Morris Park,Boro Zone,#5a9178
243,31993.37,58800.33,Manhattan,Washington Heights North,Boro Zone,#5a9178
244,170712.52,284802.53,Manhattan,Washington Heights South,Boro Zone,#2a5a5b
245,418.63,418.96999999999997,Staten Island,West Brighton,Boro Zone,#e8e8e8
246,2112489.73,283.29,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,#6c83b5
247,26929.510000000002,44992.48,Bronx,West Concourse,Boro Zone,#5a9178
248,6036.36,14050.07,Bronx,West Farms/Bronx River,Boro Zone,#b8d6be
249,2631971.93,291.78000000000003,Manhattan,West Village,Yellow Zone,#6c83b5
250,8517.09,23594.33,Bronx,Westchester Village/Unionport,Boro Zone,#90b2b3
251,111.33,653.86,Staten Island,Westerleigh,Boro Zone,#e8e8e8
252,5950.16,6535.03,Queens,Whitestone,Boro Zone,#b8d6be
253,687.1800000000001,616.4,Queens,Willets Point,Boro Zone,#e8e8e8
254,17781.73,41815.39,Bronx,Williamsbridge/Olinville,Boro Zone,#5a9178
255,112972.0,155368.91,Brooklyn,Williamsburg (North Side),Boro Zone,#2a5a5b
256,99621.01,61866.51,Brooklyn,Williamsburg (South Side),Boro Zone,#2a5a5b
257,10532.19,11157.86,Brooklyn,Windsor Terrace,Boro Zone,#90b2b3
258,10678.03,15909.29,Queens,Woodhaven,Boro Zone,#90b2b3
259,10045.23,19433.83,Bronx,Woodlawn/Wakefield,Boro Zone,#90b2b3
260,81456.36,153099.84,Queens,Woodside,Boro Zone,#2a5a5b
261,1003018.34,278.36,Manhattan,World Trade Center,Yellow Zone,#6c83b5
262,1445314.41,397.53,Manhattan,Yorkville East,Yellow Zone,#6c83b5
263,2168245.38,4707.86,Manhattan,Yorkville West,Yellow Zone,#567994
264,1039202.4,23825.54,Unknown,NV,,#567994
265,323064.35,9887.48,Unknown,,,#567994
