PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount,log_total_change_percent,sigmoid_total_change_percent,newlog_total_change_percent
34,3465.37,1011.25,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8,38.07520211015352,-55.56878545160569,#b8d6be,-6.45958008759319,8.406623576371906,0.0,0.0015630061130116216,-6.45958008759319
35,42085.77,21802.13,Brooklyn,Brownsville,Boro Zone,#2a5a5b,49.15807063835367,-50.74581176978764,#e8e8e8,-11.854527734313722,11.064885264062607,0.0,7.1062573823402555e-06,-11.854527734313722
36,7307.59,4506.19,Brooklyn,Bushwick North,Boro Zone,#90b2b3,-45.68640537993407,-83.23124022933456,#5a9178,-70.70501453493779,9.377021925719859,0.0,1.9642752502107235e-31,-70.70501453493779
37,21991.36,8448.36,Brooklyn,Bushwick South,Boro Zone,#2a5a5b,-12.284933884719456,-72.49155701311675,#b8d6be,-45.432140549742186,10.323503613510187,0.0,1.8581127278096247e-20,-45.432140549742186
38,8124.97,4942.87,Queens,Cambria Heights,Boro Zone,#90b2b3,-9.39112843868907,-52.82120934743039,#b8d6be,-32.792325847036366,9.4779095289974,0.0,5.734213196452258e-15,-32.792325847036366
39,37777.09,17803.38,Brooklyn,Canarsie,Boro Zone,#2a5a5b,18.538785533388733,-63.61631739512861,#b8d6be,-31.21338780606102,10.925587159539976,0.0,2.7809803122687527e-14,-31.21338780606102
40,3928.84,1578.17,Brooklyn,Carroll Gardens,Boro Zone,#b8d6be,-91.73363939820801,-94.962486054963,#2a5a5b,-93.01640703861706,8.613777105131543,0.0,4.01317128994878e-41,-93.01640703861706
41,119506.43,60047.18,Manhattan,Central Harlem,Boro Zone,#2a5a5b,-65.69825172965511,-82.16121198941684,#5a9178,-73.78808842277377,12.098229105272214,0.0,8.99995561835111e-33,-73.78808842277377
42,94505.41,59965.23,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,-45.42412068421184,-71.72217584065902,#90b2b3,-59.90074989985613,11.947759324899039,0.0,9.670186647479378e-27,-59.90074989985613
43,163082.65,17135.81,Manhattan,Central Park,Yellow Zone,#2a5a5b,-90.28440865114908,-78.99895630910898,#2a5a5b,-89.76125382864033,12.101925060640989,0.0,1.040357909945318e-39,-89.76125382864033
44,10130.56,230.2,Staten Island,Charleston/Tottenville,Boro Zone,#b5c0da,416.64125251804063,-0.0,#e8e8e8,428.3810592345157,9.245780872196187,6.060013124791594,1.0,6.0623447746313746
45,18803.86,673.3,Manhattan,Chinatown,Yellow Zone,#b5c0da,-93.38272374101723,100.33324407152844,#6c83b5,-93.15387953774075,9.876997776013637,0.0,3.497712820457767e-41,-93.15387953774075
46,1706.74,1163.46,Bronx,City Island,Boro Zone,#b8d6be,-26.149678937985698,-79.8961162834097,#73ae80,-64.5580811822699,7.962136992736831,0.0,9.178708555960529e-29,-64.5580811822699
47,11458.12,8756.98,Bronx,Claremont/Bathgate,Boro Zone,#5a9178,31.20124947900208,-41.20211960229257,#e8e8e8,-14.43923374501621,9.914185128884302,0.0,5.359450064953922e-07,-14.43923374501621
48,412272.65,1318.16,Manhattan,Clinton East,Yellow Zone,#567994,-88.31237295382721,-0.0,#6c83b5,-88.27500408527098,12.932632382393715,0.0,4.598888029229621e-39,-88.27500408527098
49,11876.09,11166.42,Brooklyn,Clinton Hill,Boro Zone,#5a9178,-63.42657392189126,-82.71498034417661,#5a9178,-76.26285325891286,10.045096049848413,0.0,7.576413259349902e-34,-76.26285325891286
50,154611.95,783.96,Manhattan,Clinton West,Yellow Zone,#6c83b5,-83.97331263168779,464.2435583705196,#6c83b5,-83.89436886298671,11.953731397393007,0.0,3.673994823337819e-37,-83.89436886298671
51,14865.82,14669.88,Bronx,Co-Op City,Boro Zone,#5a9178,-25.69828018375229,-68.25033914196001,#b8d6be,-55.39236645325689,10.29335498015457,0.0,8.778107797382912e-25,-55.39236645325689
52,5056.87,4200.36,Brooklyn,Cobble Hill,Boro Zone,#b8d6be,-90.80175238670375,-92.8938151206992,#2a5a5b,-91.88567011812953,9.133160146820993,0.0,1.2432558221777391e-40,-91.88567011812953
53,5483.82,1221.2,Queens,College Point,Boro Zone,#b8d6be,29.368940055203012,-76.08416368991666,#73ae80,-28.25126215337598,8.810611778559949,0.0,5.37814788466063e-13,-28.25126215337598
54,2084.47,840.84,Brooklyn,Columbia Street,Boro Zone,#e8e8e8,-55.29708724538595,-80.2798403324687,#5a9178,-67.23002643724514,7.981155736956147,0.0,6.344107013040465e-30,-67.23002643724514
55,28856.79,20926.47,Brooklyn,Coney Island,Boro Zone,#2a5a5b,64.82935179901607,-75.76331508152509,#73ae80,-52.0619706266394,10.815434061925178,0.0,2.453428691716916e-23,-52.0619706266394
56,6743.97,4895.92,Queens,Corona,Boro Zone,#90b2b3,-82.11026587223586,-75.81419704143913,#2a5a5b,-79.91057359306237,9.362193271068953,0.0,1.9736895551111322e-35,-79.91057359306237
57,1509.93,799.49,Queens,Corona,Boro Zone,#e8e8e8,210.84508492022653,-40.83636740372376,#e8e8e8,25.71213943943345,7.744751689738331,3.2469632321071416,0.9999999999931866,3.2851181227323054
58,407.77,179.66,Bronx,Country Club,Boro Zone,#e8e8e8,-55.81884175740832,-82.04118352658935,#5a9178,-69.45797696727065,6.375757089983345,0.0,6.835713921378332e-31,-69.45797696727065
59,283.61,247.71,Bronx,Crotona Park,Boro Zone,#e8e8e8,-42.11095689092097,-54.384575721862106,#90b2b3,-48.563351920693925,6.275364476264302,0.0,8.113425227769708e-22,-48.563351920693925
60,8034.51,4386.88,Bronx,Crotona Park East,Boro Zone,#90b2b3,40.38099997204441,-48.9814027648719,#e8e8e8,-13.270259985546657,9.427175265489401,0.0,1.7250376000540109e-06,-13.270259985546657
