PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,log_total_amount
138,7041026.76,1627.9,Queens,LaGuardia Airport,Airports,#6c83b5,13.206904303675277
139,13113.93,13067.89,Queens,Laurelton,Boro Zone,#90b2b3,9.521099117945438
140,2078229.64,15892.48,Manhattan,Lenox Hill East,Yellow Zone,#567994,13.502972956985374
141,2554325.54,6316.47,Manhattan,Lenox Hill West,Yellow Zone,#567994,13.49606453718916
142,3687558.06,3879.67,Manhattan,Lincoln Square East,Yellow Zone,#6c83b5,13.485711472261784
143,1291306.87,2823.38,Manhattan,Lincoln Square West,Yellow Zone,#6c83b5,12.713670244826734
144,1239755.24,1509.33,Manhattan,Little Italy/NoLiTa,Yellow Zone,#6c83b5,11.882085238077373
145,190363.08,52285.2,Queens,Long Island City/Hunters Point,Boro Zone,#2a5a5b,10.03209094750184
146,90637.68,28121.2,Queens,Long Island City/Queens Plaza,Boro Zone,#2a5a5b,10.25023043645478
147,7351.49,12811.4,Bronx,Longwood,Boro Zone,#b8d6be,9.316692096224424
148,1539272.25,1636.52,Manhattan,Lower East Side,Yellow Zone,#6c83b5,11.59899269639467
149,8152.54,12952.44,Brooklyn,Madison,Boro Zone,#b8d6be,9.46614083405516
150,4671.38,10858.06,Brooklyn,Manhattan Beach,Boro Zone,#b8d6be,8.6073391504663
151,940343.3,5849.58,Manhattan,Manhattan Valley,Yellow Zone,#567994,12.735869374503066
152,94670.62,44704.37,Manhattan,Manhattanville,Boro Zone,#2a5a5b,10.6519353250309
153,2657.94,4923.27,Manhattan,Marble Hill,Boro Zone,#e8e8e8,8.600351655460319
154,1971.36,632.46,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,#e8e8e8,7.2231133142841575
155,14223.17,28291.95,Brooklyn,Marine Park/Mill Basin,Boro Zone,#5a9178,10.005747616757889
156,793.19,3075.62,Staten Island,Mariners Harbor,Boro Zone,#e8e8e8,8.783540283117743
157,36476.29,11192.78,Queens,Maspeth,Boro Zone,#90b2b3,8.757275665693548
158,1182580.12,133.42000000000002,Manhattan,Meatpacking/West Village West,Yellow Zone,#6c83b5,11.47476025058209
159,13338.61,37955.79,Bronx,Melrose South,Boro Zone,#5a9178,10.25478189697665
160,7352.519999999998,7093.97,Queens,Middle Village,Boro Zone,#b8d6be,8.598354657661346
161,4929496.15,4351.67,Manhattan,Midtown Center,Yellow Zone,#6c83b5,13.613986144855561
162,4463547.94,4098.4,Manhattan,Midtown East,Yellow Zone,#6c83b5,13.40028996446933
163,3604044.26,2417.94,Manhattan,Midtown North,Yellow Zone,#6c83b5,13.192771457677425
