PULocationID,yellow_total_amount,yellow_log_total_amount,green_total_amount,green_log_total_amount,Borough,Zone,service_zone,bivcolor
94,2146.88,7.671770904374523,4984.2,8.51402818807308,Bronx,Fordham South,Boro Zone,#b8d6be
95,16563.31,9.714945287193112,91130.79000000001,11.420051006387087,Queens,Forest Hills,Boro Zone,#5a9178
96,517.9300000000001,6.249840097992773,101.83,4.623304756183574,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8
97,49819.61,10.816163960604078,105568.40000000001,11.567114363048107,Brooklyn,Fort Greene,Boro Zone,#2a5a5b
98,2153.39,7.674798623551757,2253.09,7.720057886372078,Queens,Fresh Meadows,Boro Zone,#b8d6be
99,91.8,4.519612297626445,0.0,0.0,Staten Island,Freshkills Park,Boro Zone,#e8e8e8
100,980540.93,13.79585966775544,303.34000000000003,5.714854288623251,Manhattan,Garment District,Yellow Zone,#6c83b5
101,3532.33,8.16971298884298,4024.2799999999997,8.300101291863795,Queens,Glen Oaks,Boro Zone,#b8d6be
102,2446.69,7.802491369679718,3135.65,8.0505917680989,Queens,Glendale,Boro Zone,#b8d6be
103,0.0,0.0,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
104,0.0,0.0,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
105,48.46,3.8807387153883797,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8
106,7569.85,8.931928531175728,6591.09,8.793474015943561,Brooklyn,Gowanus,Boro Zone,#90b2b3
107,1119529.29,13.928418878144521,1362.73,7.217245319630493,Manhattan,Gramercy,Yellow Zone,#6c83b5
108,3152.25,8.055871762553336,7026.68,8.857469611518596,Brooklyn,Gravesend,Boro Zone,#b8d6be
109,485.7,6.1855911493516995,0.0,0.0,Staten Island,Great Kills,Boro Zone,#e8e8e8
110,0.0,0.0,0.0,0.0,Staten Island,Great Kills Park,Boro Zone,#e8e8e8
111,73.73,4.300409772001559,34.85,3.551053137206533,Brooklyn,Green-Wood Cemetery,Boro Zone,#e8e8e8
112,12742.44,9.452693433550962,11211.87,9.324728317497517,Brooklyn,Greenpoint,Boro Zone,#5a9178
113,746466.18,13.523105590179565,267.74,5.590016360357752,Manhattan,Greenwich Village North,Yellow Zone,#6c83b5
114,605973.4400000001,13.314591435708122,76.99,4.343675543289958,Manhattan,Greenwich Village South,Yellow Zone,#6c83b5
115,1693.74,7.434694380551542,1831.04,7.512639390421691,Staten Island,Grymes Hill/Clifton,Boro Zone,#b8d6be
116,74265.5,11.215401789087572,53266.58,10.883064396611086,Manhattan,Hamilton Heights,Boro Zone,#2a5a5b
117,6840.62,8.830633649783596,15320.48,9.636945774396448,Queens,Hammels/Arverne,Boro Zone,#5a9178
118,1963.83,7.582651927123241,235.32,5.460946289996255,Staten Island,Heartland Village/Todt Hill,Boro Zone,#e8e8e8
119,6529.08,8.784021324136532,12021.460000000001,9.394448664939306,Bronx,Highbridge,Boro Zone,#5a9178
120,778.75,6.657690070101663,1116.74,7.018169005636506,Manhattan,Highbridge Park,Boro Zone,#e8e8e8
121,4555.41,8.424070816620262,7585.18,8.933951622549177,Queens,Hillcrest/Pomonok,Boro Zone,#90b2b3
